WikidataURL;Universe;familyName;givenName;sex;birthDate;AVSNr
Q111082709;Disney;Mouse;Margie;female;1912-10-22;7565626146561
Q112223829;Disney;Goat;Gideon;male;1937-03-18;7563797564085
Q2334015;Disney;Mouse;Markus;male;1939-12-06;7566939230183
Q27304877;Disney;Robin;Christopher;male;1945-11-28;7566422590732
Q3437147;Disney;Hood;Robin;male;1947-08-29;7569468062614
Q11934;Disney;Mouse;Mickey;male;1949-12-14;7565691946349
Q11936;Disney;Mouse;Minerva;female;1951-05-07;7564934397498
Q11936;Disney;Mouse;Minnie;female;1972-05-10;7563038909224
Q11937;Disney;McDuck;Scrooge;male;1976-04-22;7561230860077
Q6550;Disney;Duck;Donald;male;1977-01-20;7562378067595
Q104869376;fiction;Armstrong;Tricia;female;1991-04-12;7562186711192
Q100927311;fiction;Tataro?lu;?nci;female;1991-07-30;7564098604807
Q101052856;fiction;Caldwell;Alan;male;1996-03-12;7568849389654
Q101052928;fiction;McMullen;Jessie;male;1998-01-21;7565949876756
Q101053041;fiction;Pierce;Edward;male;1999-07-30;7565554356834
Q101062929;fiction;Richmond;Anthony;male;2006-05-23;7563100078216
Q101062929;fiction;Richmond;Tony;male;2009-04-23;7563429487423
Q101063012;fiction;Rutland;Mark;male;2016-09-29;7564386875681
Q101068819;fiction;Armstrong;Paul;male;2016-10-14;7561256952909
Q101072692;fiction;Bradley;Paul;male;2019-07-02;7562907209281
Q101078234;fiction;Meredith;Douglas;male;1922-06-06;7560605260238
Q101096123;fiction;Miller;Reno;male;1978-07-03;7562629102143
Q101112186;fiction;Campbell;Robert;male;1996-12-31;7562966486647
Q101112187;fiction;Hale;Patrick;male;2010-03-31;7569629683115
